sid,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
PTY_056,0.0176842984699884,0,0.00159681157032784,0.251525914694788,0,0,3.59568691138547e-05,0,0.0162097916209431,0,0.253394951755843,0.0799074492620449,0.338912163556965,0,0,0.0265741030747743,0,0,0.014158559125212,0,0,0,0,0.80684841309967,0.627658836548526
PTY_102,0.068483177623935,0,0,0.271441982334645,0,0.00820139385910736,0.00510868254184593,0,0.014541007187897,0,0.114483765885216,0,0.475807616590692,0,0,0.0302622960635108,0,0,0.0116700779131501,0,0,0,0,0.802740879727731,0.663200834441235
PTY_183,0.0212202183098265,0.00936673838482244,0,0.205118382124858,0,0.052343446322999,0.00074087178866118,0.0023900086472765,0.00304637853706095,0.0327779568878759,0.104830679968809,0.0444813526899021,0.469532341303501,0,0,0.034953227481423,0,1.5549388968636e-05,0.00592668767882963,0,0,0.013256160485186,0,0.829738018389675,0.633052234311519
PTY_104,0.0673308322958597,0,0,0.432556925732564,0,0.0293623388102805,0.00965791560404671,0,0.0339368980416908,0,0.0332274248077278,0.0621797141372905,0.300027650323193,0,0,0.0284245718117559,0,0.000844119927330234,0.00130253281873863,0,0.00114907568952219,0,0,0.836028233091171,0.626310768288214
PTY_034,0.0564917425299331,0.00490792323812036,0.00241048131486614,0.409365973637644,0,0.0279609956940658,0,0.0193984196389395,0.0205927014551378,0,0,0.101618197581491,0.317231740082639,0,0,0.0309410107912494,0,0,0.0074631974882675,0,0,0.00161761654764606,0,0.731511045155753,0.710340232529561
PTY_025,0.036191146886579,0,0,0.448930714360175,0,0,0,0.00497363765678141,0.0414683487854616,0,0.00967903783072778,0.037994815935993,0.359189823822279,0,0,0.0450952558375032,0,0,0.0163801875456921,0,9.7031338808213e-05,0,0,0.849397935765358,0.621659435808673
PTY_103,0.0721271522394442,0.000166794971934037,0,0.172439359510604,0,0.0880397981058154,0,0,0.0094620896884576,0.000868414868140777,0.0213545538334523,0.0457523833585614,0.518634310887371,0,0,0.0592856264215439,0,0.000283677664403773,0.0115858384502715,0,0,0,0,0.831789480304148,0.642646217759923
PTY_010,0.0414668704309764,0,0,0.449927663336581,0,0,0,0.00144252601147992,0.0252424128058123,0,0.11069514260258,0.0320251485233154,0.30600195541612,0,0,0.0212269493530836,0,0,0.0119713315200515,0,0,0,0,0.851517237180184,0.604033233050603
PTY_134,0.0661798211392059,0,0,0.503044011348559,0,0,0,0.00169400651155359,0.00978716658791223,0,0,0.0751528387686129,0.303121690603074,0,0,0.0326101348523552,0,0.000199448348376676,0.00821088184034979,0,0,0,0,0.723963307990563,0.712564600913519
PTY_058,0.0464176318544483,0,0,0.426415491159577,0,0.0578353455763385,0.0272525182747467,0,0.0267786657218563,0,0.122644338416059,0.0318157785462166,0.205801034730651,0,0.000731146630869684,0.0454382369831759,0,0,0,0,0.0088698121060609,0,0,0.833844342176387,0.617906142646946
